Identifiant de l'élément,Nom base français,Code de la catégorie,Statut de l'élément,CO2,Unité français
40826.0,Mimolette extra-vieille,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages",Valide générique,6.26,kgCO2e/kg de poids net
40827.0,Mimolette jeune,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages",Valide générique,6.06,kgCO2e/kg de poids net
40828.0,Mimolette vieille,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages",Valide générique,6.34,kgCO2e/kg de poids net
41719.0,Mortadelle pistachée pur porc,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Charcuteries",Valide générique,9.18,kgCO2e/kg de poids net
41722.0,Morue,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Poissons cuits",Valide générique,12.1,kgCO2e/kg de poids net
41726.0,Moule,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer",Valide générique,5.9,kgCO2e/kg de poids net
41724.0,Moule commune,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Mollusques et crustacés crus",Valide générique,4.95,kgCO2e/kg de poids net
41725.0,Moule de Méditerranée,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Mollusques et crustacés crus",Valide générique,4.95,kgCO2e/kg de poids net
41728.0,Moules à la sauce catalane ou escabèche (tomate),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer",Valide générique,3.64,kgCO2e/kg de poids net
40036.0,Moules farcies,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,3.24,kgCO2e/kg de poids net
41731.0,Mousse de foie de porc supérieure ou Crème de foie,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Charcuteries",Valide générique,5.51,kgCO2e/kg de poids net
40836.0,Mousse liégeoise,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Produits laitiers frais et assimilés",Valide générique,4.48,kgCO2e/kg de poids net
41732.0,Mouton,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues",Valide générique,35.53,kgCO2e/kg de poids net
41186.0,Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41187.0,Muesli croustillant au chocolat,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41188.0,Muesli croustillant aux fruits et/ou fruits secs,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41189.0,Muesli croustillant aux fruits ou fruits secs,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41190.0,Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41191.0,Muesli floconneux aux fruits ou fruits secs,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41193.0,Muesli floconneux ou de type traditionnel,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.14,kgCO2e/kg de poids net
41194.0,Muffin anglais,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.56775,kgCO2e/kg de poids net
39898.0,Nectar d'abricot,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.333,kgCO2e/kg de poids net
39903.0,Nectar d'orange,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.781,kgCO2e/kg de poids net
39899.0,Nectar de banane,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.47,kgCO2e/kg de poids net
39900.0,Nectar de mangue,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.596,kgCO2e/kg de poids net
39901.0,Nectar de pêche,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.933,kgCO2e/kg de poids net
39902.0,Nectar de poire,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons sans alcool",Valide générique,0.82,kgCO2e/kg de poids net
40490.0,Nectarine ou brugnon,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.6065,kgCO2e/kg de poids net
40503.0,Noix,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses",Valide générique,4.17,kgCO2e/kg de poids net
40494.0,Noix de cajou,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses",Valide générique,6.035,kgCO2e/kg de poids net
39654.0,Nori (Porphyra sp.),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Algues",Valide générique,6.77,kgCO2e/kg de poids net
41199.0,Nouilles asiatiques cuites,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales",Valide générique,1.34,kgCO2e/kg de poids net
40045.0,Nuggets soja et blé (convient aux véganes ou végétaliens),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats Végétariens",Valide générique,1.57,kgCO2e/kg de poids net
39655.0,Olives vertes,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Condiments",Valide générique,0.911,kgCO2e/kg de poids net
40509.0,Orange,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.8029999999999999,kgCO2e/kg de poids net
41201.0,Orge entière,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales",Valide générique,0.788,kgCO2e/kg de poids net
41202.0,Orge perlée,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales",Valide générique,0.7686666666666667,kgCO2e/kg de poids net
39656.0,Origan,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Herbes",Valide générique,1.55,kgCO2e/kg de poids net
41241.0,Pain,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,0.8134444444444444,kgCO2e/kg de poids net
41204.0,Pain au chocolat feuilleté,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,5.2,kgCO2e/kg de poids net
41217.0,Pain de mie,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.52,kgCO2e/kg de poids net
41224.0,Pain grillé brioché,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.925,kgCO2e/kg de poids net
41225.0,Pain grillé suédois au blé complet,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.27,kgCO2e/kg de poids net
41226.0,Pain grillé suédois au froment,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.27,kgCO2e/kg de poids net
